location,demo_score
Afghanistan,2.85
Albania,5.89
Algeria,4.01
Angola,3.72
Argentina,7.02
Armenia,5.54
Australia,9.09
Austria,8.29
Azerbaijan,2.75
Bahrain,2.55
Bangladesh,5.88
Belarus,2.48
Belgium,7.64
Benin,5.09
Bhutan,5.3
Bolivia,4.84
Bosnia and Herzegovina,4.86
Botswana,7.81
Brazil,6.86
Bulgaria,7.03
Burkina Faso,4.04
Burundi,2.15
Cambodia,3.53
Cape Verde,7.78
Central African Republic,1.32
Chad,1.61
Chile,8.08
China,2.26
Colombia,7.13
Comoros,3.15
Costa Rica,8.13
Croatia,6.57
Cuba,2.84
Cyprus,7.59
Czech Republic,7.69
Democratic Republic of Congo,1.13
Denmark,9.22
Djibouti,2.77
Dominican Republic,6.54
Ecuador,6.33
Egypt,3.06
El Salvador,6.15
Equatorial Guinea,1.92
Eritrea,2.37
Estonia,7.9
Eswatini,3.14
Ethiopia,3.44
Fiji,5.85
Finland,9.25
France,8.12
Gabon,3.61
Gambia,4.33
Georgia,5.42
Germany,8.68
Ghana,6.63
Greece,7.43
Guatemala,5.26
Guinea-Bissau,2.63
Haiti,4.57
Hong Kong,6.02
Hungary,8.75
Iceland,9.58
India,6.9
Indonesia,6.48
Iran,2.38
Iraq,3.74
Ireland,9.24
Israel,7.86
Italy,7.52
Ivory Coast,4.05
Jamaica,6.96
Japan,7.99
Jordan,3.93
Kazakhstan,2.94
Kenya,5.18
Kyrgyzstan,4.89
Laos,2.14
Latvia,7.49
Lebanon,4.36
Liberia,5.45
Libya,2.02
Lithuania,9.58
Luxembourg,8.81
Madagascar,5.64
Malawi,5.5
Malaysia,7.16
Mali,4.92
Malta,7.95
Mauritania,3.92
Mauritius,8.22
Mexico,6.09
Moldova,5.75
Mongolia,6.5
Montenegro,5.65
Morocco,5.1
Mozambique,3.65
Myanmar,3.55
Namibia,6.43
Netherlands,9.01
New Zealand,9.26
Niger,3.29
Nigeria,4.12
North Korea,1.08
Macedonia,5.97
Norway,9.87
Pakistan,4.25
Palestine,3.89
Panama,7.05
Papua New Guinea,6.03
Paraguay,6.24
Peru,6.6
Philippines,6.64
Poland,6.62
Portugal,8.03
Qatar,3.19
Congo,3.11
Romania,6.49
Rwanda,3.16
Saudi Arabia,1.93
Senegal,5.81
Serbia,6.41
Slovakia,7.17
Slovenia,7.5
South Africa,7.24
Sri Lanka,6.27
Sudan,2.7
Suriname,6.98
Sweden,9.39
Syria,1.43
Taiwan,7.73
Tajikistan,0.08
Tanzania,5.16
Thailand,6.32
Timor,7.19
Togo,3.3
Trinidad and Tobago,9.58
Tunisia,6.72
Turkey,4.09
Turkmenistan,1.72
Uganda,5.02
Ukraine,5.9
United Arab Emirates,2.76
United Kingdom,8.52
United States,7.96
Uruguay,8.38
Uzbekistan,2.01
Venezuela,2.88
Vietnam,3.08
Yemen,1.95
Cameroon,1.67
Canada,9.58
Guinea,3.5
Guyana,6.92
Honduras,7.83
Kuwait,3.58
Lesotho,9.17
Nepal,5.28
Nicaragua,1.25
Oman,0.08
Russia,2.17
Sierra Leone,6.58
Singapore,3.92
Spain,9.58
Switzerland,9.03
Zambia,4.75
Zimbabwe,0